Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:02:59,26-02-2024 17:03:02,2.381s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""1000"")",Chrome 121.0.0.0,,,26-02-2024 17:03:02,26-02-2024 17:03:03,1.024s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payment link/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:03:03,26-02-2024 17:03:04,1.376s,PASSED
"switchToWindowTitle("""")",Chrome 121.0.0.0,,,26-02-2024 17:03:04,26-02-2024 17:03:05,0.980s,PASSED
"click(findTestObject(""My Account_Payment/Transaction page/Page_/Transaction_failure""))",Chrome 121.0.0.0,,,26-02-2024 17:03:05,26-02-2024 17:03:06,1.228s,PASSED
delay(2),Chrome 121.0.0.0,,,26-02-2024 17:03:06,26-02-2024 17:03:08,2.020s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 17:03:08,26-02-2024 17:03:09,0.436s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit Error message for depositing less than minimum amount,Chrome 121.0.0.0,"Expected Result: To check the the user get a error message if they try to deposit amount less than the minimum
Actual Result: The user get a error message for inappropriate deposit",My Account,26-02-2024 17:03:09,26-02-2024 17:03:36,26.862s,PASSED
"openBrowser(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 17:03:09,26-02-2024 17:03:14,4.912s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:03:14,26-02-2024 17:03:18,4.210s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 17:03:18,26-02-2024 17:03:22,3.711s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 17:03:22,26-02-2024 17:03:23,1.482s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 17:03:23,26-02-2024 17:03:28,4.646s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 17:03:28,26-02-2024 17:03:30,2.529s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 17:03:30,26-02-2024 17:03:31,0.825s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:03:31,26-02-2024 17:03:33,1.868s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""10"")",Chrome 121.0.0.0,,,26-02-2024 17:03:33,26-02-2024 17:03:34,1.078s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payment link/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:03:34,26-02-2024 17:03:35,0.685s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 17:03:35,26-02-2024 17:03:35,0.635s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 17:03:35,26-02-2024 17:03:36,0.213s,PASSED
,,,,,,,
Test Cases/My Account/Payment_ Successful Withdraw,Chrome 121.0.0.0,"Expected Result: To check whether the user is able to withdraw 
Actual Result: The user is able to withdraw",My Account,26-02-2024 17:03:36,26-02-2024 17:04:09,33.773s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 17:03:36,26-02-2024 17:03:36,0.896s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 17:03:36,26-02-2024 17:03:41,4.235s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:03:41,26-02-2024 17:03:46,5.734s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 17:03:46,26-02-2024 17:03:51,4.714s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 17:03:51,26-02-2024 17:03:53,1.551s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 17:03:53,26-02-2024 17:03:58,5.049s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 17:03:58,26-02-2024 17:04:00,2.279s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 17:04:00,26-02-2024 17:04:01,0.985s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw""))",Chrome 121.0.0.0,,,26-02-2024 17:04:01,26-02-2024 17:04:03,1.878s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw amount entery field""), ""100"")",Chrome 121.0.0.0,,,26-02-2024 17:04:03,26-02-2024 17:04:04,1.090s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw button""))",Chrome 121.0.0.0,,,26-02-2024 17:04:04,26-02-2024 17:04:05,0.533s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account holder name""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:04:05,26-02-2024 17:04:06,0.966s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account number""), ""5896478963245187"")",Chrome 121.0.0.0,,,26-02-2024 17:04:06,26-02-2024 17:04:06,0.835s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account IFSC code""), ""SBIN0000800"")",Chrome 121.0.0.0,,,26-02-2024 17:04:06,26-02-2024 17:04:07,0.829s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw Submit button""))",Chrome 121.0.0.0,,,26-02-2024 17:04:07,26-02-2024 17:04:08,0.411s,PASSED
delay(1),Chrome 121.0.0.0,,,26-02-2024 17:04:08,26-02-2024 17:04:09,1.016s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 17:04:09,26-02-2024 17:04:09,0.684s,PASSED
