Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,28-02-2024 09:38:20,28-02-2024 09:38:50,29.427s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,28-02-2024 09:38:21,28-02-2024 09:38:50,29.305s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,28-02-2024 09:38:21,28-02-2024 09:38:35,14.511s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,28-02-2024 09:38:35,28-02-2024 09:38:39,3.256s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,28-02-2024 09:38:39,28-02-2024 09:38:39,0.877s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,28-02-2024 09:38:39,28-02-2024 09:38:39,0.000s,PASSED
"for ([i = 1, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,28-02-2024 09:38:39,28-02-2024 09:38:50,10.415s,ERROR
