Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exchange,Chrome 121.0.0.0,,,29-02-2024 12:36:15,29-02-2024 12:36:46,31.200s,ERROR
,,,,,,,
Test Cases/Exchange/Place exchange_cricket bet,Chrome 121.0.0.0,,,29-02-2024 12:36:15,29-02-2024 12:36:46,31.085s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,29-02-2024 12:36:15,29-02-2024 12:36:33,17.725s,PASSED
"click(findTestObject(""Object Repository/Exchange Page/Exchange_menu""))",Chrome 121.0.0.0,,,29-02-2024 12:36:33,29-02-2024 12:36:44,10.531s,PASSED
"click(findTestObject(""Object Repository/Exchange Page/Cricket_menu""))",Chrome 121.0.0.0,,,29-02-2024 12:36:44,29-02-2024 12:36:45,1.819s,PASSED
"element = getWebDriver().findElement(By.xpath(""(//section[@class='mod-event-line ng-scope ng-isolate-scope'])[1]/ul[1]""))",Chrome 121.0.0.0,,,29-02-2024 12:36:45,29-02-2024 12:36:46,0.913s,PASSED
element.click(),Chrome 121.0.0.0,,,29-02-2024 12:36:46,29-02-2024 12:36:46,0.023s,ERROR
