Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,27-02-2024 13:36:42,27-02-2024 13:42:23,5m - 40.435s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,27-02-2024 13:36:43,27-02-2024 13:42:23,5m - 40.289s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,27-02-2024 13:36:43,27-02-2024 13:36:54,11.252s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,27-02-2024 13:36:54,27-02-2024 13:36:56,2.231s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,27-02-2024 13:36:56,27-02-2024 13:36:57,0.905s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,27-02-2024 13:36:57,27-02-2024 13:36:57,0.000s,PASSED
"for ([i = 1, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,27-02-2024 13:36:57,27-02-2024 13:42:23,5m - 25.674s,ERROR
