Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,26-02-2024 12:26:12,26-02-2024 12:26:34,21.904s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,26-02-2024 12:26:31,26-02-2024 12:26:34,2.302s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,26-02-2024 12:26:31,26-02-2024 12:26:34,2.290s,ERROR
