Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,27-02-2024 12:21:08,27-02-2024 12:22:00,52.451s,FAILED
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,27-02-2024 12:21:08,27-02-2024 12:22:00,52.323s,FAILED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,27-02-2024 12:21:08,27-02-2024 12:21:23,14.662s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,27-02-2024 12:21:23,27-02-2024 12:21:27,3.905s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,27-02-2024 12:21:27,27-02-2024 12:21:27,0.501s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,27-02-2024 12:21:27,27-02-2024 12:21:27,0.008s,PASSED
"for ([i = 1, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,27-02-2024 12:21:27,27-02-2024 12:22:00,33.055s,FAILED
