Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,26-02-2024 12:58:15,26-02-2024 12:58:54,38.973s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,26-02-2024 12:58:45,26-02-2024 12:58:54,9.314s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,26-02-2024 12:58:45,26-02-2024 12:58:54,9.282s,ERROR
