Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,26-02-2024 14:11:26,26-02-2024 14:11:54,27.988s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,26-02-2024 14:11:27,26-02-2024 14:11:54,27.831s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,26-02-2024 14:11:27,26-02-2024 14:11:41,14.031s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,26-02-2024 14:11:41,26-02-2024 14:11:43,1.739s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,26-02-2024 14:11:43,26-02-2024 14:11:43,0.785s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,26-02-2024 14:11:43,26-02-2024 14:11:43,0.005s,PASSED
"for ([i = 0, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,26-02-2024 14:11:43,26-02-2024 14:11:54,11.048s,ERROR
