Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,26-02-2024 12:25:10,26-02-2024 12:25:37,26.247s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,26-02-2024 12:25:11,26-02-2024 12:25:37,26.113s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,26-02-2024 12:25:11,26-02-2024 12:25:37,26.009s,ERROR
