Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,26-02-2024 13:48:21,26-02-2024 13:49:09,47.743s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,26-02-2024 13:48:54,26-02-2024 13:49:09,15.079s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,26-02-2024 13:48:54,26-02-2024 13:49:09,15.061s,ERROR
