Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,27-02-2024 10:53:04,27-02-2024 10:53:39,34.807s,FAILED
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,27-02-2024 10:53:04,27-02-2024 10:53:39,34.677s,FAILED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,27-02-2024 10:53:04,27-02-2024 10:53:19,14.219s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,27-02-2024 10:53:19,27-02-2024 10:53:20,1.488s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,27-02-2024 10:53:20,27-02-2024 10:53:21,0.934s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,27-02-2024 10:53:21,27-02-2024 10:53:21,0.002s,PASSED
"for ([i = 1, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,27-02-2024 10:53:21,27-02-2024 10:53:39,17.835s,FAILED
