Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:39:54,26-02-2024 17:39:56,2.167s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""1000"")",Chrome 121.0.0.0,,,26-02-2024 17:39:56,26-02-2024 17:39:57,1.037s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payment link/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:39:57,26-02-2024 17:39:58,0.964s,PASSED
"switchToWindowTitle("""")",Chrome 121.0.0.0,,,26-02-2024 17:39:58,26-02-2024 17:40:00,2.308s,PASSED
"click(findTestObject(""My Account_Payment/Transaction page/Page_/Transaction_failure""))",Chrome 121.0.0.0,,,26-02-2024 17:40:00,26-02-2024 17:40:02,1.911s,PASSED
delay(2),Chrome 121.0.0.0,,,26-02-2024 17:40:02,26-02-2024 17:40:04,2.015s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 17:40:04,26-02-2024 17:40:05,0.475s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit Error message for depositing less than minimum amount,Chrome 121.0.0.0,"Expected Result: To check the the user get a error message if they try to deposit amount less than the minimum
Actual Result: The user get a error message for inappropriate deposit",My Account,26-02-2024 17:40:05,26-02-2024 17:40:32,27.388s,PASSED
"openBrowser(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 17:40:05,26-02-2024 17:40:10,5.561s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:40:10,26-02-2024 17:40:14,3.697s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 17:40:14,26-02-2024 17:40:18,3.601s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 17:40:18,26-02-2024 17:40:19,1.595s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 17:40:19,26-02-2024 17:40:23,4.053s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 17:40:23,26-02-2024 17:40:27,3.109s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 17:40:27,26-02-2024 17:40:27,0.963s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:40:27,26-02-2024 17:40:30,2.037s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""10"")",Chrome 121.0.0.0,,,26-02-2024 17:40:30,26-02-2024 17:40:31,1.017s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payment link/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:40:31,26-02-2024 17:40:31,0.708s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 17:40:31,26-02-2024 17:40:32,0.748s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 17:40:32,26-02-2024 17:40:32,0.228s,PASSED
,,,,,,,
Test Cases/My Account/Payment_ Successful Withdraw,Chrome 121.0.0.0,"Expected Result: To check whether the user is able to withdraw 
Actual Result: The user is able to withdraw",My Account,26-02-2024 17:40:32,26-02-2024 17:41:03,30.540s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 17:40:32,26-02-2024 17:40:34,1.560s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 17:40:34,26-02-2024 17:40:37,2.833s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:40:37,26-02-2024 17:40:41,4.262s,PASSED
