Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:18:00,27-02-2024 15:18:01,1.152s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:18:01,27-02-2024 15:18:07,6.137s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:18:07,27-02-2024 15:18:11,4.146s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:18:11,27-02-2024 15:18:12,0.864s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:18:12,27-02-2024 15:18:15,3.053s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""1000"")",Chrome 122.0.0.0,,,27-02-2024 15:18:15,27-02-2024 15:18:16,0.639s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payment link/button_Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:18:16,27-02-2024 15:18:17,1.131s,PASSED
"switchToWindowTitle("""")",Chrome 122.0.0.0,,,27-02-2024 15:18:17,27-02-2024 15:18:18,1.049s,PASSED
"click(findTestObject(""My Account_Payment/Transaction page/Page_/Transaction_failure""))",Chrome 122.0.0.0,,,27-02-2024 15:18:18,27-02-2024 15:18:20,1.702s,PASSED
delay(2),Chrome 122.0.0.0,,,27-02-2024 15:18:20,27-02-2024 15:18:22,2.071s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:18:22,27-02-2024 15:18:22,0.329s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit successful in Bank Transfer,Chrome 122.0.0.0,"Expected Result: To check whether the user is able to deposit using bank transfer
Actual result: The user is able to deposit using Bank transfer",,27-02-2024 15:18:22,27-02-2024 15:19:01,38.933s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,27-02-2024 15:18:22,27-02-2024 15:18:23,1.222s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:18:23,27-02-2024 15:18:29,6.113s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:18:29,27-02-2024 15:18:32,2.603s,PASSED
"setEncryptedText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login password""), ""Ae2KZyjYBr0MQlyqU7ThAA=="")",Chrome 122.0.0.0,,,27-02-2024 15:18:32,27-02-2024 15:18:34,1.540s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Log Button""))",Chrome 122.0.0.0,,,27-02-2024 15:18:34,27-02-2024 15:18:35,1.447s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:18:35,27-02-2024 15:18:38,3.509s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:18:38,27-02-2024 15:18:41,2.775s,PASSED
